Symbol,Trade Type,Entry DateTime,Exit DateTime,Entry Price,Exit Price,Trade Quantity,Max Open Quantity,Max Closed Quantity,Profit/Loss (C),Cumulative Profit/Loss (C),FlatToFlat Profit/Loss (C),FlatToFlat Max Open Profit (C),FlatToFlat Max Open Loss (C),Max Open Profit (C),Max Open Loss (C),Entry Efficiency,Exit Efficiency,Total Efficiency,Commission (C),High Price While Open,Low Price While Open,Note,Open Position Quantity,Close Position Quantity,Duration
[Sim]F.US.MESH23,Short,2023-01-12  16:15:55.638 BP,2023-01-12  16:16:01.905 EP,3998.50,4001.00,1,1,1,-13.50,-36.00,-13.50 F,0.00,-12.50,0.00,-12.50,100.0%,-8.0%,-108.0%,1.00,4001.00,3998.50,,1,0,00:00:06
[Sim]F.US.MESH23,Short,2023-01-12  16:16:09.325 BP,2023-01-12  16:31:03.464 EP,4000.75,3989.75,1,1,1,54.00,18.00,54.00 F,62.50,-8.75,62.50,-8.75,100.0%,88.1%,75.8%,1.00,4002.50,3988.25,,1,0,00:14:54
[Sim]F.US.MESH23,Short,2023-01-12  16:33:28.238 BP,2023-01-12  16:35:08.540 EP,3993.50,3995.50,1,1,1,-11.00,7.00,-11.00 F,12.50,-10.00,12.50,-10.00,100.0%,-4.4%,-48.9%,1.00,3995.50,3991.00,,1,0,00:01:40
[Sim]F.US.MESH23,Short,2023-01-12  16:38:25.953 BP,2023-01-12  16:40:01.977 EP,4000.75,4003.25,1,1,1,-13.50,-6.50,-13.50 F,8.75,-12.50,8.75,-12.50,100.0%,-4.7%,-63.5%,1.00,4003.25,3999.00,,1,0,00:01:36
[Sim]F.US.MESH23,Short,2023-01-12  16:42:43.589 BP,2023-01-12  16:45:02.561 EP,3994.00,3987.50,1,1,1,31.50,25.00,31.50 F,53.75,-7.50,53.75,-7.50,100.0%,63.7%,51.4%,1.00,3995.50,3983.25,,1,0,00:02:18
[Sim]F.US.MESH23,Short,2023-01-12  16:46:08.259 BP,2023-01-12  16:47:05.803 EP,3982.00,3984.50,1,1,1,-13.50,11.50,-13.50 F,12.50,-12.50,12.50,-12.50,100.0%,-4.0%,-54.0%,1.00,3984.50,3979.50,,1,0,00:00:57
[Sim]F.US.MESH23,Short,2023-01-12  16:56:59.873 BP,2023-01-12  16:57:35.995 EP,3994.00,3992.50,1,1,1,6.50,18.00,6.50 F,12.50,-3.75,12.50,-3.75,100.0%,63.1%,40.0%,1.00,3994.75,3991.50,,1,0,00:00:36
[Sim]F.US.MESH23,Short,2023-01-12  17:00:33.903 BP,2023-01-12  17:01:43.756 EP,3982.50,3978.75,1,1,1,17.75,35.75,17.75 F,28.75,-10.00,28.75,-10.00,100.0%,71.6%,45.8%,1.00,3984.50,3976.75,,1,0,00:01:09
[Sim]F.US.MESH23,Long,2023-01-13  15:36:08.547 BP,2023-01-13  15:38:47.608 EP,3971.25,3968.75,1,1,1,-13.50,22.25,-13.50 F,13.75,-12.50,13.75,-12.50,100.0%,-3.8%,-51.4%,1.00,3974.00,3968.75,,1,0,00:02:39
[Sim]F.US.MESH23,Short,2023-01-13  15:39:36.702 BP,2023-01-13  15:40:00.923 EP,3968.50,3970.75,1,1,1,-12.25,10.00,-12.25 F,2.50,-15.00,2.50,-15.00,100.0%,15.7%,-70.0%,1.00,3971.50,3968.00,,1,0,00:00:24
[Sim]F.US.MESH23,Long,2023-01-13  15:40:49.966 BP,2023-01-13  15:41:01.316 EP,3974.50,3972.00,1,1,1,-13.50,-3.50,-13.50 F,0.00,-12.50,0.00,-12.50,100.0%,-8.0%,-108.0%,1.00,3974.50,3972.00,,1,0,00:00:11
[Sim]F.US.MESH23,Short,2023-01-13  15:41:22.953 BP,2023-01-13  15:41:55.335 EP,3971.75,3969.00,1,1,1,12.75,9.25,12.75 F,16.25,-2.50,16.25,-2.50,100.0%,81.3%,68.0%,1.00,3972.25,3968.50,,1,0,00:00:32
[Sim]F.US.MESH23,Long,2023-01-13  15:43:08.658 BP,2023-01-13  15:44:00.859 EP,3969.25,3971.75,1,1,1,11.50,20.75,11.50 F,17.50,-8.75,17.50,-8.75,100.0%,77.1%,43.8%,1.00,3972.75,3967.50,,1,0,00:00:52
[Sim]F.US.MESH23,Short,2023-01-13  15:46:34.887 BP,2023-01-13  15:51:48.647 EP,3975.50,3983.25,1,1,1,-39.75,-19.00,-39.75 F,3.75,-38.75,3.75,-38.75,100.0%,-2.4%,-93.5%,1.00,3983.25,3974.75,,1,0,00:05:13
[Sim]F.US.MESH23,Long,2023-01-13  15:52:30.176 BP,2023-01-13  15:53:12.235 EP,3982.00,3979.75,1,1,1,-12.25,-31.25,-12.25 F,1.25,-11.25,1.25,-11.25,100.0%,-8.0%,-98.0%,1.00,3982.25,3979.75,,1,0,00:00:42
[Sim]F.US.MESH23,Long,2023-01-13  15:54:56.856 BP,2023-01-13  16:00:30.467 EP,3982.25,3985.50,1,1,1,15.25,-16.00,15.25 F,43.75,-32.50,43.75,-32.50,100.0%,62.6%,20.0%,1.00,3991.00,3975.75,,1,0,00:05:33
[Sim]F.US.MESH23,Long,2023-01-13  16:00:33.623 BP,2023-01-13  16:00:39.165 EP,3987.50,3984.75,1,1,1,-14.75,-30.75,-14.75 F,0.00,-13.75,0.00,-13.75,100.0%,-7.3%,-107.3%,1.00,3987.50,3984.75,,1,0,00:00:05
[Sim]F.US.MESH23,Long,2023-01-13  16:01:03.114 BP,2023-01-13  16:01:12.654 EP,3987.25,3985.00,1,1,1,-12.25,-43.00,-12.25 F,6.25,-11.25,6.25,-11.25,100.0%,-5.7%,-70.0%,1.00,3988.50,3985.00,,1,0,00:00:09
[Sim]F.US.MESH23,Short,2023-01-13  16:01:16.098 BP,2023-01-13  16:06:04.868 EP,3983.75,3990.50,1,1,1,-34.75,-77.75,-34.75 F,11.25,-33.75,11.25,-33.75,100.0%,-2.2%,-77.2%,1.00,3990.50,3981.50,,1,0,00:04:48
[Sim]F.US.MESH23,Short,2023-01-13  16:06:22.120 BP,2023-01-13  16:08:44.440 EP,3990.00,3984.50,1,1,1,26.50,-51.25,26.50 F,32.50,0.00,32.50,0.00,100.0%,81.5%,81.5%,1.00,3990.00,3983.50,,1,0,00:02:22
[Sim]F.US.MESH23,Short,2023-01-13  16:12:28.210 BP,2023-01-13  16:24:25.747 EP,3988.75,3997.50,1,1,1,-44.75,-96.00,-44.75 F,7.50,-43.75,7.50,-43.75,100.0%,-2.0%,-87.3%,1.00,3997.50,3987.25,,1,0,00:11:57
[Sim]F.US.MESH23,Long,2023-01-13  16:24:29.313 BP,2023-01-13  16:25:23.899 EP,3997.75,3994.00,1,1,1,-19.75,-115.75,-19.75 F,0.00,-18.75,0.00,-18.75,100.0%,-5.3%,-105.3%,1.00,3997.75,3994.00,,1,0,00:00:54
[Sim]F.US.MESH23,Short,2023-01-13  16:25:27.053 BP,2023-01-13  16:28:01.256 EP,3994.00,3997.25,1,1,1,-17.25,-133.00,-17.25 F,0.00,-16.25,0.00,-16.25,100.0%,-6.2%,-106.2%,1.00,3997.25,3994.00,,1,0,00:02:34
[Sim]F.US.MESH23,Long,2023-01-13  16:28:02.450 BP,2023-01-13  16:33:32.158 EP,3997.00,3992.75,1,1,1,-22.25,-155.25,-22.25 F,17.50,-21.25,17.50,-21.25,100.0%,-2.6%,-57.4%,1.00,4000.50,3992.75,,1,0,00:05:29
[Sim]F.US.MESH23,Long,2023-01-13  16:33:55.505 BP,2023-01-13  16:34:59.362 EP,3993.75,3991.25,1,1,1,-13.50,-168.75,-13.50 F,0.00,-12.50,0.00,-12.50,100.0%,-8.0%,-108.0%,1.00,3993.75,3991.25,,1,0,00:01:03
[Sim]F.US.MESH23,Long,2023-01-13  16:35:12.196 BP,2023-01-13  16:47:03.811 EP,3993.00,3997.25,1,1,1,20.25,-148.50,20.25 F,31.25,-3.75,31.25,-3.75,100.0%,68.6%,57.9%,1.00,3999.25,3992.25,,1,0,00:11:51
[Sim]F.US.MESH23,Short,2023-01-13  16:48:43.703 BP,2023-01-13  16:52:18.280 EP,3998.25,3996.75,1,1,1,6.50,-142.00,6.50 F,16.25,-7.50,16.25,-7.50,100.0%,58.9%,27.4%,1.00,3999.75,3995.00,,1,0,00:03:34
[Sim]F.US.MESH23,Long,2023-01-13  16:56:36.216 BP,2023-01-13  17:00:10.964 EP,3995.75,3998.50,1,1,1,12.75,-129.25,12.75 F,13.75,-6.25,13.75,-6.25,100.0%,95.0%,63.7%,1.00,3998.50,3994.50,,1,0,00:03:34
[Sim]F.US.MESH23,Short,2023-01-13  17:04:17.287 BP,2023-01-13  17:07:38.580 EP,3994.50,3993.75,1,1,1,2.75,-126.50,2.75 F,10.00,-6.25,10.00,-6.25,100.0%,55.4%,16.9%,1.00,3995.75,3992.50,,1,0,00:03:21
[Sim]F.US.MESH23,Short,2023-01-17  15:41:24.735 BP,2023-01-17  15:41:42.074 EP,4011.75,4014.25,1,1,1,-13.50,-140.00,-13.50 F,0.00,-12.50,0.00,-12.50,100.0%,-8.0%,-108.0%,1.00,4014.25,4011.75,,1,0,00:00:17
[Sim]F.US.MESH23,Short,2023-01-17  15:42:48.072 BP,2023-01-17  15:45:17.719 EP,4016.00,4018.25,1,1,1,-12.25,-152.25,-12.25 F,12.50,-11.25,12.50,-11.25,100.0%,-4.2%,-51.6%,1.00,4018.25,4013.50,,1,0,00:02:29
[Sim]F.US.MESH23,Long,2023-01-17  15:45:36.118 BP,2023-01-17  15:50:30.621 EP,4018.50,4016.00,1,1,1,-13.50,-165.75,-13.50 F,15.00,-12.50,15.00,-12.50,100.0%,-3.6%,-49.1%,1.00,4021.50,4016.00,,1,0,00:04:54
[Sim]F.US.MESH23,Short,2023-01-17  15:50:56.145 BP,2023-01-17  15:52:46.594 EP,4017.25,4019.75,1,1,1,-13.50,-179.25,-13.50 F,2.50,-12.50,2.50,-12.50,100.0%,-6.7%,-90.0%,1.00,4019.75,4016.75,,1,0,00:01:50
[Sim]F.US.MESH23,Short,2023-01-17  15:53:32.097 BP,2023-01-17  15:53:58.781 EP,4020.25,4022.50,1,1,1,-12.25,-191.50,-12.25 F,0.00,-11.25,0.00,-11.25,100.0%,-8.9%,-108.9%,1.00,4022.50,4020.25,,1,0,00:00:26
[Sim]F.US.MESH23,Long,2023-01-17  15:54:11.817 BP,2023-01-17  15:55:59.623 EP,4023.75,4021.50,1,1,1,-12.25,-203.75,-12.25 F,0.00,-15.00,0.00,-15.00,100.0%,18.3%,-81.7%,1.00,4023.75,4020.75,,1,0,00:01:47
